
    date   smlo_vwret  smlo_nfirms   smlo_msize   smme_vwret  smme_nfirms   smme_msize   smhi_vwret  smhi_nfirms   smhi_msize   bilo_vwret  bilo_nfirms   bilo_msize   bime_vwret  bime_nfirms   bime_msize   bihi_vwret  bihi_nfirms   bihi_msize
19950428        0.012         1692       131.68       0.0292         1384       138.87       0.0326         1423        81.91       0.0206          406      4969.12       0.0308          346      4636.96       0.0346          190      3031.27
19950531       0.0071         1677       134.18       0.0196         1378       142.77       0.0298         1410        84.89       0.0356          405      5073.05       0.0359          342      4810.09       0.0522          188      3151.13
19950630       0.0724         1658       135.96       0.0484         1370       145.35       0.0396         1398        86.93       0.0391          404      5256.59       0.0172          342      4962.75       0.0121          188      3302.82
19950731       0.0783         1647       140.89       0.0477         1693       133.93       0.0479         1641        79.62       0.0397          450      5119.75       0.0404          381      4620.73       0.0271          202      3296.44
19950831       0.0223         1638       152.15       0.0293         1681       140.55       0.0387         1628        83.78        0.001          449      5327.15       0.0117          380      4810.06       0.0224          202      3377.79
19950929       0.0249         1628       156.02       0.0184         1671       144.36       0.0162         1617        87.23       0.0484          448      5335.26        0.033          376      4878.82       0.0388          202      3439.49
19951031      -0.0592         1619        159.6      -0.0496         1657       146.69      -0.0371         1598        88.61       0.0049          446      5578.85      -0.0126          376      5034.89      -0.0187          202      3562.45
19951130       0.0368         1611       150.23       0.0335         1642       139.67       0.0404         1583        84.84       0.0397          444      5612.43       0.0525          374       4961.3       0.0429          202      3486.96
19951229       0.0193         1600       155.93       0.0256         1634       144.65       0.0229         1567        88.28       0.0028          442      5829.93        0.025          373      5212.43       0.0274          200      3602.64
19960131       0.0008         1589       158.89       0.0034         1616       148.25       0.0116         1545           90       0.0303          439      5857.51       0.0321          370      5353.61       0.0266          198      3703.99
19960229       0.0477         1577       158.76       0.0261         1609       148.59       0.0227         1526        90.53       0.0198          437      6008.24       0.0165          368      5539.87      -0.0015          198      3794.35
19960329       0.0215         1569       166.44       0.0276         1598       151.93       0.0282         1516        92.35       0.0022          436       6131.9       0.0156          365      5648.57       0.0201          197       3780.8
19960430       0.0879         1562       169.83       0.0471         1586       156.29       0.0443         1503        95.23       0.0281          435      6141.53       0.0124          362      5708.91      -0.0079          196      3796.82
19960531        0.061         1548       185.34       0.0449         1579       163.23       0.0544         1489        99.42        0.038          434       6322.4       0.0087          361      5779.53        0.017          196      3758.69
19960628      -0.0633         1539       196.95      -0.0241         1567       171.02      -0.0244         1480       104.66       0.0003          434      6555.12      -0.0016          361      5810.11            0          196      3807.52
19960731      -0.1376         1775       181.03      -0.0603         1689       165.93      -0.0535         1641        94.41      -0.0554          495      6795.71      -0.0372          401      4795.32      -0.0518          194      3660.27
19960830        0.071         1766       155.99       0.0463         1669       156.67       0.0454         1628         89.3       0.0205          493      6428.53       0.0385          400      4620.33       0.0344          194      3461.61
19960930       0.0523         1760       166.95       0.0276         1657       163.68       0.0279         1615        93.73       0.0687          490      6566.33       0.0472          398      4797.77       0.0165          194      3567.77
19961031      -0.0511         1750       175.61            0         1645       167.57       0.0111         1600        96.48       0.0068          489      7007.87       0.0359          398      5017.37       0.0407          193      3623.38
19961129       0.0179         1740       166.78       0.0466         1636       167.34       0.0369         1585        97.21       0.0725          489      7046.59       0.0793          396       5202.6       0.0576          193      3760.73
19961231       0.0082         1728       169.81       0.0269         1619       174.58       0.0191         1570       101.05      -0.0171          487      7576.16      -0.0141          393      5579.86      -0.0091          191       3992.4
19970131       0.0419         1717       171.65       0.0286         1603       179.47       0.0323         1556       102.88       0.0662          482      7461.68        0.052          392      5481.39         0.03          189      3973.87
19970228      -0.0615         1703       178.98      -0.0027         1593       183.94        0.012         1545       106.42            0          481      7963.81       0.0042          392      5761.75       0.0208          188      4097.42
19970331      -0.0842         1687       168.52       -0.032         1577       183.32      -0.0176         1529       107.41      -0.0549          480      7970.15       -0.026          392      5769.28       -0.044          187      4182.92
19970430      -0.0318         1674       154.21       0.0069         1566       176.77      -0.0011         1520        105.6       0.0671          478      7512.28       0.0449          391      5617.75       0.0163          187      3987.31
19970530       0.1547         1661       148.53       0.0981         1556       177.83       0.0787         1512       105.25       0.0701          477      8021.68       0.0587          388       5892.7        0.059          186      4055.06
19970630       0.0387         1642       171.95       0.0573         1540       194.86       0.0662         1498       113.22       0.0417          474      8598.54       0.0468          385      6206.35       0.0281          183         4267
19970731       0.0495         1788       190.51       0.0547         1807       178.98       0.0552         1763       104.81       0.0775          505      8564.03       0.0903          452      5863.07       0.0642          205      4440.55
19970829       0.0396         1767       199.11        0.032         1793       188.22       0.0321         1746       110.44      -0.0577          503      9219.64      -0.0336          445      6388.06      -0.0295          203      4743.07
19970930         0.09         1756        207.5       0.0795         1782       194.09       0.0784         1728       113.59       0.0509          502      8694.17       0.0599          439      6216.71       0.0568          202      4610.17
19971031      -0.0603         1745        226.5      -0.0334         1758       209.43      -0.0224         1712       122.14      -0.0348          500       9154.6      -0.0305          436      6616.07      -0.0266          199      4908.63
19971128      -0.0317         1730       212.29      -0.0087         1744        201.6        0.004         1697       119.13       0.0483          499      8820.25       0.0336          435      6418.79       0.0331          197      4759.47
19971231       -0.022         1703       205.23       0.0117         1721       199.11       0.0222         1669       120.02         0.01          498      9230.83       0.0297          433       6637.5       0.0423          195      4939.56
19980130      -0.0033         1686       200.84      -0.0153         1707       200.66      -0.0072         1648       122.83       0.0297          496      9338.32      -0.0223          431      6821.37      -0.0028          193      5170.68
19980227       0.0826         1665       200.92       0.0711         1688       197.49       0.0718         1636       121.91       0.0722          496      9609.63       0.0782          429      6666.53       0.0688          191      5184.27
19980331       0.0449         1646       216.68       0.0461         1672       211.53       0.0478         1608       131.55       0.0461          494     10331.08       0.0515          427       7193.5       0.0766          190      5552.83
19980430       0.0082         1636       225.89        0.015         1650        221.2       0.0224         1587       136.93       0.0118          492     10792.09       0.0159          425      7560.63       0.0039          188      6009.51
19980529      -0.0744         1617       229.02      -0.0464         1634        224.9      -0.0253         1569       140.81      -0.0258          491     10932.57      -0.0233          422      7711.35       0.0105          187      6044.62
19980630        0.007         1594       214.02       -0.009         1622       213.83       0.0036         1542       136.79       0.0587          488     10694.24       0.0159          417      7564.48       0.0254          183       6059.6
19980731      -0.0764         1509       234.18      -0.0786         1920       197.85      -0.0652         1738       121.01      -0.0053          547     11643.36      -0.0305          425      6885.93      -0.0381          195      5310.52
19980831      -0.2436         1491       215.84       -0.189         1894       182.58      -0.1718         1721       113.42      -0.1437          542     11648.49      -0.1771          425      6669.24      -0.1126          192      5141.17
19980930       0.0879         1473       163.86       0.0563         1880       148.37        0.028         1695        94.11        0.078          539     10005.34       0.0403          420       5441.2       0.0588          192      4551.79
19981030       0.0484         1443        179.3        0.036         1860       155.81       0.0296         1659        97.72       0.0825          536     10812.47       0.0804          411      5497.52        0.047          192      4807.88
19981130       0.0907         1430       187.95       0.0545         1854       161.18       0.0558         1630       101.78       0.0699          535     11701.95       0.0584          405      5915.93        0.039          191      4883.13
19981231       0.0679         1412       206.28       0.0335         1833       169.55       0.0284         1602       108.35        0.088          534     12527.62       0.0184          403      6230.92       0.0316          190      5083.48
19990129       0.0474         1394       222.12       0.0128         1812        175.2       0.0025         1573       112.02       0.0567          529     13703.15      -0.0034          399      6193.35      -0.0106          190      5233.24
19990226      -0.0928         1377        234.1      -0.0697         1797       177.63      -0.0814         1549        113.2      -0.0449          529      14471.3      -0.0066          398      6169.17      -0.0222          190      5168.83
19990331      -0.0001         1354       213.34       0.0022         1765       165.94      -0.0275         1520       104.58       0.0422          523     13868.19       0.0369          398      6113.89        0.012          188      5068.48
19990430       0.1006         1343       213.51       0.0984         1737       166.95        0.088         1499       102.49       0.0179          523     14439.66       0.0887          393      6359.01       0.0794          187      5140.97
19990528       0.0145         1328       234.47       0.0157         1711       184.46       0.0443         1483       112.13      -0.0256          522     14700.46       -0.009          390         6958      -0.0016          186      5538.73
19990630       0.0653         1315       238.06        0.061         1682       186.82       0.0593         1460       117.97       0.0688          516     14289.72       0.0268          385      6903.56      -0.0112          184       5549.2
19990730      -0.0126         1242        234.3      -0.0087         1649       188.02      -0.0055         1837       107.67      -0.0313          600     15895.16      -0.0347          403      5878.87      -0.0277          155      3795.06
19990831      -0.0289         1225       232.58      -0.0309         1626       185.11      -0.0283         1816       107.48      -0.0026          594     15504.26      -0.0254          399      5699.32      -0.0229          155      3686.49
19990930       0.0081         1205       225.65      -0.0082         1606       179.74      -0.0254         1794       104.76      -0.0197          592     15481.04      -0.0557          397      5549.09      -0.0477          155      3592.32
19991029       0.0113         1190       229.06      -0.0065         1588       177.28      -0.0313         1776       100.56       0.0709          587     15132.92       0.0578          390      5255.37       0.0482          155      3411.68
19991130       0.1314         1169       228.85       0.0622         1560       173.78       0.0329         1753        96.97       0.0415          581     16349.57      -0.0249          387      5574.59      -0.0199          153      3553.05
19991231         0.18         1158       257.95       0.0853         1538       183.77       0.0563         1722       100.33       0.0786          577     16935.21       0.0198          385      5442.37       0.0185          152      3482.89
20000131       0.0068         1148       303.23      -0.0033         1524       199.18       0.0034         1703       106.53      -0.0478          573     18350.96       -0.037          382      5545.65      -0.0399          151      3537.98
20000229       0.2891         1132       305.89        0.154         1509       197.73       0.1153         1684       106.88       0.0123          571     17513.54      -0.0444          381      5344.35      -0.0713          149      3384.08
20000331      -0.1382         1119       393.41       -0.037         1489       227.59      -0.0113         1658       118.88       0.0872          567     17814.55       0.1065          379      5107.88       0.1185          149      3132.01
20000428      -0.1429         1109       339.79      -0.0567         1475       217.09      -0.0429         1640       117.03      -0.0429          564     19388.18      -0.0127          376      5610.79       0.0423          148      3499.45
20000531      -0.0784         1096       290.44      -0.0535         1458       204.23      -0.0342         1624       111.39       -0.034          564     18544.63         0.01          374      5441.17      -0.0022          147      3638.88
20000630       0.1751         1085       264.76       0.0922         1436       190.96       0.0817         1602       107.84       0.0502          560     17811.18      -0.0585          371      5400.28      -0.0548          143      3632.15
20000731      -0.0717         1393       251.29       0.0138         1578       172.07       0.0227         1520        97.01      -0.0297          775     15437.89       0.0331          358      5168.02        0.045          127       3520.5
20000831       0.0859         1379       233.79       0.0563         1559       175.14       0.0634         1507        99.37       0.0757          769     15054.01       0.0845          355      5359.69       0.0723          126      3662.75
20000929      -0.0706         1369       254.47      -0.0027         1531       184.09        -0.01         1491       105.96      -0.0621          761     16319.42       0.0193          350      5844.69       0.0147          126      3914.25
20001031      -0.0822         1352       237.19      -0.0109         1512       183.57      -0.0184         1461       105.99       -0.022          754     15392.53       0.0091          347      5984.33       0.0102          125      3915.16
20001130      -0.1624         1339       219.03      -0.0426         1493       179.82      -0.0254         1428       105.75      -0.1093          751     15084.73      -0.0306          341         6011       0.0015          125      3947.75
20001229       0.0277         1312       183.35       0.0946         1474       171.87       0.0815         1408       103.97      -0.0026          750     13440.27       0.0925          338       5761.2       0.0661          122      3853.38
20010131       0.1248         1279       190.76       0.0521         1455       187.98       0.0652         1384       112.88       0.0377          747      13305.5        0.011          335      6199.43       -0.016          122      4098.89
20010228      -0.1227         1265       215.52      -0.0047         1438       198.19       0.0051         1374        120.8      -0.1166          744     13794.53      -0.0046          330      6321.28       0.0331          121      3962.12
20010330      -0.0738         1250       190.61      -0.0142         1424       197.68      -0.0118         1355       120.73      -0.0818          741     12218.79      -0.0174          327      6299.58      -0.0164          120      4103.42
20010430       0.1025         1234       177.02       0.0498         1401       195.74       0.0512         1329       120.29       0.0892          736     11277.67       0.0531          326      6188.88       0.0527          120      4027.63
20010531       0.0401         1215       197.57       0.0459         1382       205.39       0.0643         1299       128.46       0.0041          732     12315.82       0.0196          325      6521.14       0.0363          120       4234.8
20010629       0.0638         1197       208.14       0.0516         1368       215.63       0.0203         1279       137.58      -0.0192          723     12487.26      -0.0187          323      6660.43       -0.018          119      4325.84
20010731      -0.0947         1009       336.82      -0.0404         1450       255.22        -0.01         1931       109.64      -0.0168          565      15686.1      -0.0136          377      7146.05       0.0106          104      6149.55
20010831      -0.0759          995       308.88      -0.0229         1431        244.7      -0.0124         1884       108.89      -0.0698          557     15543.06      -0.0398          376      7054.82       -0.067          104      6211.03
20010928      -0.1715          987       286.89      -0.1293         1423       238.73      -0.1445         1858       107.84      -0.0829          557     14441.42      -0.0892          374      6736.04      -0.0773          104      5778.98
20011031       0.1111          979       238.51       0.0502         1411       207.72       0.0443         1837        92.73        0.033          556     13252.78       0.0077          372      6045.25        -0.04          103      5351.78
20011130       0.0922          965       267.71       0.0713         1396       218.83       0.0901         1798        97.75       0.0825          553     13742.87       0.0585          370      6101.02        0.101          102      5131.56
20011231       0.0667          955       292.63       0.0685         1382       234.53        0.069         1779       107.22       0.0076          551     14888.17         0.03          367      6480.38        0.013          101       5672.4
20020131      -0.0509          947       314.53        0.012         1374       251.13       0.0271         1749       116.09      -0.0087          546     15111.18        -0.02          365      6677.55      -0.0175          100      5763.36
20020228      -0.0813          939       299.93      -0.0127         1366       254.88      -0.0049         1720       119.77      -0.0259          545      14991.8       0.0012          364      6545.81       -0.024           98      5725.25
20020328       0.0907          932       275.91        0.075         1351       252.69       0.1011         1702       119.74       0.0361          545     14587.93       0.0519          362      6552.22       0.0485           96      5693.22
